Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2022,4.01%,4.32%,5.39%,5.42%,5.61%,6.68%,7.05%,7.47%,7.48%,6.74%,,,
2021,0.24%,0.73%,1.31%,2.08%,2.42%,2.38%,2.52%,2.43%,2.52%,3.25%,3.85%,3.95%,2.31%
2020,0.82%,0.33%,-0.04%,-0.74%,-0.84%,-0.54%,-0.41%,-0.40%,-0.01%,-0.22%,-0.15%,0.02%,-0.18%
2019,0.36%,0.45%,0.68%,0.93%,0.88%,0.54%,0.23%,0.43%,0.40%,0.49%,0.65%,0.76%,0.57%
2018,0.01%,0.48%,0.24%,0.07%,0.35%,0.56%,0.64%,0.73%,0.72%,0.71%,0.29%,0.47%,0.44%
2017,0.56%,0.66%,0.66%,0.40%,1.41%,0.52%,0.56%,0.40%,0.38%,0.37%,0.63%,0.38%,0.58%
2016,-0.64%,-0.84%,-1.04%,-0.47%,-1.57%,-0.73%,-0.65%,-0.26%,-0.25%,-0.11%,0.02%,0.16%,-0.53%
2015,-0.39%,-0.27%,-0.30%,-0.52%,-0.40%,-0.34%,-0.40%,-0.83%,-0.64%,-0.77%,-0.76%,-0.64%,-0.52%
2014,1.41%,0.38%,1.19%,2.30%,2.28%,1.90%,1.31%,1.04%,0.70%,0.24%,-0.28%,-0.08%,1.03%
2013,3.56%,4.89%,3.54%,1.46%,1.61%,1.81%,1.85%,2.04%,1.61%,1.98%,2.57%,1.50%,2.36%
2012,4.80%,4.60%,5.25%,5.45%,5.04%,5.29%,4.00%,3.90%,4.69%,4.05%,3.61%,4.32%,4.58%
2011,5.51%,4.99%,5.04%,4.46%,4.48%,5.24%,5.44%,5.72%,5.46%,5.42%,5.66%,5.53%,5.25%
2010,0.21%,0.95%,1.61%,3.20%,3.24%,2.71%,3.15%,3.25%,3.67%,3.51%,3.80%,4.59%,2.82%
2009,4.27%,3.24%,2.56%,0.33%,0.24%,-0.02%,-0.25%,-0.28%,-0.41%,-0.91%,-0.79%,-0.53%,0.60%
2008,6.63%,6.56%,6.72%,7.57%,7.53%,7.54%,6.58%,6.43%,6.75%,6.42%,5.54%,5.37%,6.63%
2007,-0.58%,-0.04%,0.23%,0.45%,1.27%,1.71%,2.97%,3.45%,3.01%,4.06%,4.86%,3.82%,2.11%
